gps_time,lat,lon,lat_bd,lon_bd,speed,direction,located,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,satellites
2026-07-15 09:25:40,22.596792,113.869324,22.600096,113.880693,0.0,0,0,-2095,4189,16022,0,0,0,0
2026-07-15 09:25:45,22.596792,113.869324,22.600096,113.880693,0.0,0,0,-2098,4189,16023,-1,-2,-1,0
2026-07-15 09:25:50,22.596792,113.869324,22.600096,113.880693,0.0,0,0,-2091,4185,16070,0,-1,3,0
2026-07-15 09:25:55,22.596792,113.869324,22.600096,113.880693,0.0,0,0,-2105,4196,16000,0,1,-1,0
2026-07-15 09:26:00,22.596792,113.869324,22.600096,113.880693,0.0,0,0,-2099,4196,16036,0,1,1,0
2026-07-15 09:26:05,22.596792,113.869324,22.600096,113.880693,0.0,0,0,-2093,4194,16043,0,-1,1,0
2026-07-15 09:26:09,22.596379,113.86973,22.599684,113.881098,0.0,0,1,-2095,4202,16037,1,1,0,5
2026-07-15 09:26:10,22.596386,113.869734,22.599691,113.881102,0.0,0,1,-2098,4192,16044,1,2,0,5
2026-07-15 09:26:14,22.596423,113.869787,22.599728,113.881155,0.0,0,1,-2102,4191,16033,1,1,0,5
2026-07-15 09:26:19,22.596443,113.869799,22.599748,113.881167,0.0,0,1,-2103,4193,16086,0,1,1,7
2026-07-15 09:26:24,22.596468,113.86981,22.599774,113.881177,0.0,0,1,-2095,4199,16075,0,0,-1,8
2026-07-15 09:26:29,22.596496,113.869803,22.599801,113.88117,0.0,0,1,-2105,4201,16078,1,0,1,8
2026-07-15 09:26:34,22.596517,113.86981,22.599823,113.881177,0.0,0,1,-2097,4196,16020,-1,0,0,10
2026-07-15 09:26:39,22.596545,113.86983,22.599851,113.881197,0.0,0,1,-2097,4194,16033,1,1,0,11
2026-07-15 09:26:44,22.596571,113.869846,22.599877,113.881213,0.0,0,1,-2101,4195,16048,-1,1,2,11
2026-07-15 09:26:49,22.596599,113.869865,22.599905,113.881232,0.0,0,1,-2104,4197,16046,1,0,0,11
2026-07-15 09:26:54,22.596632,113.869888,22.599938,113.881255,0.0,0,1,-2105,4197,16043,0,2,0,11
2026-07-15 09:26:59,22.596663,113.869911,22.599969,113.881278,0.0,0,1,-2102,4201,16052,-1,0,1,11
2026-07-15 09:27:01,22.596674,113.86992,22.59998,113.881287,0.0,0,1,-2104,4218,16072,0,1,1,13
2026-07-15 09:27:06,22.596696,113.869935,22.600002,113.881302,0.0,0,1,-2109,4224,16002,0,2,1,13
2026-07-15 09:27:11,22.596717,113.869949,22.600023,113.881316,0.0,0,1,-2102,4212,16020,0,0,-1,13
2026-07-15 09:27:16,22.596736,113.869964,22.600042,113.881331,0.0,0,1,-2098,4203,16013,0,1,2,13
2026-07-15 09:27:21,22.596754,113.869977,22.60006,113.881344,0.0,0,1,-2103,4223,16043,0,0,-1,13
2026-07-15 09:27:26,22.596769,113.86999,22.600075,113.881357,0.0,0,1,-2107,4228,16025,0,1,-1,13
2026-07-15 09:27:31,22.596781,113.870005,22.600087,113.881372,0.0,0,1,-2106,4225,16051,0,-1,2,14
2026-07-15 09:27:36,22.596791,113.870019,22.600097,113.881386,0.0,0,1,-2119,4229,16037,-1,0,0,14
2026-07-15 09:27:41,22.596798,113.870027,22.600104,113.881394,0.0,0,1,-2107,4219,16025,3,-1,2,14
2026-07-15 09:27:46,22.596804,113.870034,22.60011,113.881401,0.0,0,1,-2111,4227,16041,0,0,-1,14
2026-07-15 09:27:52,22.596808,113.870042,22.600114,113.881409,0.0,0,1,-2114,4222,16034,0,-1,0,14
2026-07-15 09:27:56,22.596811,113.870046,22.600117,113.881413,0.0,0,1,-2159,4222,16036,-7,-5,0,14
